"subject2","object1"
"http://www.wikidata.org/entity/Q12255474","http://en.wikipedia.org/wiki/Columbia_Basin_pygmy_rabbit"
"http://www.wikidata.org/entity/Q231625","http://en.wikipedia.org/wiki/Arctic_hare"
